"Name","Id","StartTime","Path","Company","Description","FileVersion","ProductVersion","CPU","WorkingSet","VirtualMemorySize"
"msedgewebview2","3228","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.671875","1347584","827555840"
"msedgewebview2","4196","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","8.71875","946176","198668288"
"msedgewebview2","4312","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.28125","61440","578822144"
"msedgewebview2","6656","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","4.296875","5615616","1380536320"
"msedgewebview2","6676","07-08-2025 15:11:15","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.453125","2252800","579846144"
"msedgewebview2","7704","07-08-2025 15:11:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","6.5","23109632","1356419072"
"msedgewebview2","7820","07-08-2025 15:11:14","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.0625","1245184","246812672"
"msedgewebview2","8128","07-08-2025 15:11:14","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","1.421875","5435392","735576064"
"msedgewebview2","8136","07-08-2025 15:11:14","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.859375","3862528","835264512"
"msedgewebview2","9332","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","0.078125","970752","230051840"
"msedgewebview2","9660","07-08-2025 15:16:13","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","1.359375","925696","733974528"
"msiexec","2816","07-08-2025 18:32:59","C:\WINDOWS\system32\msiexec.exe","Microsoft Corporation","Windows? installer","5.0.26100.2308 (WinBuild.160101.0800)","5.0.26100.2308","0.03125","12210176","94130176"
"MsMpEng","2080","07-08-2025 14:56:22",,,,,,"99.609375","63115264","1203671040"
"MsSense","3024","07-08-2025 14:56:22",,,,,,"129.484375","78454784","405479424"
"OneDrive","9952","07-08-2025 15:11:31","C:\Users\Admin\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","Microsoft OneDrive","25.137.0715.0001","25.137.0715.0001","3.359375","12627968","-525881344"
"PhoneExperienceHost","9468","07-08-2025 15:11:26","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25061.51.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","Microsoft Corporation","Microsoft Phone Link","1.25061.51.0","1.25061.51+f7a41f64337dd379beee176505f6a5a5cc75bad6","3.375","12410880","-1196478464"
"powershell_ise","5068","07-08-2025 15:52:21","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","Microsoft Corporation","Windows PowerShell ISE","10.0.26100.1591 (WinBuild.160101.0800)","10.0.26100.1591","8141.15625","343023616","1197260800"
"rdpclip","4420","07-08-2025 15:11:08","C:\WINDOWS\System32\rdpclip.exe","Microsoft Corporation","RDP Clipboard Monitor","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","3.140625","5640192","134242304"
"Registry","124","07-08-2025 14:56:12",,,,,,"2.671875","35573760","100859904"
"RuntimeBroker","5420","07-08-2025 18:35:49","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","0.03125","10678272","113635328"
"RuntimeBroker","6204","07-08-2025 15:13:24","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","0.1875","1359872","107843584"
