"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"AVIRUP-1","\SvcUpdater","N/A","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","powershell.exe -ExecutionPolicy Bypass -File "C:\Users\Admin\AppData\Roaming\mimipayload.ps1"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\TelemetryHost","N/A","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","powershell.exe -nop -w hidden -c "C:\ProgramData\MicrosoftTelemetry\stage2.ps1"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\UpdaterServiceTask","N/A","Ready","Interactive only","07-08-2025 15:11:08","0","N/A","powershell.exe -ExecutionPolicy Bypass -File "C:\Users\Admin\AppData\Roaming\registryexfil.ps1"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\UpdaterTask_20250806_162551","N/A","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","powershell.exe -WindowStyle Hidden -Command "Write-Host Scheduled Task Triggered"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\UpdaterTask_20250806_175454","N/A","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","powershell.exe -Command "Write-Host task"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\UpdaterTask_20250807_000612","N/A","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","powershell.exe -Command "Write-Host task"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\WindowsUpdaterSvc","N/A","Ready","Interactive only","07-08-2025 15:11:08","0","N/A","powershell.exe -ExecutionPolicy Bypass -File "C:\Users\Admin\AppData\Roaming\payload_20250806_154527.ps1"","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/A","Ready","Interactive/Background","06-08-2025 21:56:13","0","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/A","Ready","Interactive/Background","06-08-2025 21:56:13","0","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","N/A","Disabled","Interactive/Background","10-07-2025 00:45:38","0","N/A","COM handler","N/A","N/A","Disabled","Disabled","","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","At idle time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical","N/A","Disabled","Interactive/Background","10-07-2025 00:45:38","0","N/A","COM handler","N/A","N/A","Disabled","Disabled","","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","At idle time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\AccountHealth\RecoverabilityToastTask","N/A","Ready","Interactive/Background","07-08-2025 17:00:32","0","Microsoft Corporation","COM handler","N/A","AccountHealth Task Handler evaluates the state of a Microsoft Account and takes any necessary repair action","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","72:00:00","Scheduling data is not available in this format.","When an event occurs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","Disabled","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","COM handler","N/A","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.","Disabled","Disabled","","Everyone","Disabled","01:00:00","Scheduling data is not available in this format.","Daily ","03:00:00","09-11-2006","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"AVIRUP-1","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","Disabled","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","COM handler","N/A","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.","Disabled","Disabled","","Everyone","Disabled","01:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","N/A","Ready","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","COM handler","N/A","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Everyone","Disabled","01:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
